sentence,d_num,speaker,label,혐오,선정,범죄,욕설,비난,비도덕 아님,폭력,차별
틀딱 할저씨들 왜케 낮에 술마시고 쳐돌아다님?,1,화자1,"혐오,비난",1,0,0,0,1,0,0,0
술쳐마셨으면 한강가서 재기나 하지,1,화자1,"혐오,비난,폭력",1,0,0,0,1,0,1,0
한순간이라도 맨정신이면 버티기 힘든 인생이라 그런가봄,1,화자2,비난,0,0,0,0,1,0,0,0
한남들 _케 앞 안보고 다니냐 진짜 비켜주는 사람을 본적이 없음,2,화자1,"혐오,비난",1,0,0,0,1,0,0,0
기본 사회 매너가 진짜 없는 듯 희한함,2,화자1,비도덕 아님,0,0,0,0,0,1,0,0
눈알 소멸해서 한치앞을 못보는거임,2,화자2,비난,0,0,0,0,1,0,0,0
틀딱 한남들 어떤 상황에서도 지가 갑인줄 착각하는 거 대긋빡 날려버리고 싶네,3,화자1,"혐오,비난,폭력",1,0,0,0,1,0,1,0
틀딱 한남이 길 물어봐서 알려주는데 지 말 못알아 듣는다고 갑자기 소리를 지르는거야,3,화자1,"혐오,비난",1,0,0,0,1,0,0,0
내가 도와주는 건데도 나한테 호통치는게 정상임?,3,화자1,비도덕 아님,0,0,0,0,0,1,0,0
ㄹㅇ 틀딱 한남들 소리 겁나 빽빽지름;;,3,화자2,"혐오,비난",1,0,0,0,1,0,0,0
떽떽거릴때마다 파이어에그까버리고 싶다,3,화자2,"혐오,비난,폭력,선정",1,1,0,0,1,0,1,0
지하철에서 큰소리로 너_ 쳐보는 틀딱남 죽었으면 좋겠다,4,화자1,"혐오,비난,폭력",1,0,0,0,1,0,1,0
왜 살아 산 송장 샛기가,4,화자1,"혐오,비난,욕설",1,0,0,1,1,0,0,0
이어폰 개념 없이 크게 보는 거 진짜 짜증남,4,화자2,비난,0,0,0,0,1,0,0,0
한남 틀딱이 39살 연하랑 스캔들 터짐...,5,화자1,"혐오,비난",1,0,0,0,1,0,0,0
아... 비위 상해...,5,화자2,"혐오,비난",1,0,0,0,1,0,0,0
사진 봐라 무슨 사람 얼굴이 저렇게 뭉개졌어,5,화자3,"혐오,비난",1,0,0,0,1,0,0,0
잇몸 다 녹아내린 거 봐,5,화자3,"혐오,비난",1,0,0,0,1,0,0,0
틀딱들 걍 머리갈려 죽었으면...,6,화자1,"혐오,비난,폭력",1,0,0,0,1,0,1,0
한남틀딱들은 시선강제로하고 할매냔들은 할말 못 할말 안 가리는거 짜증나,6,화자1,"혐오,비난,욕설",1,0,0,1,1,0,0,0
죽으라고 좀 ㅋㅋ,6,화자1,"혐오,비난,폭력",1,0,0,0,1,0,1,0
나도 틀딱 되기 전에 뒤질거니까,6,화자1,"혐오,비난,폭력",1,0,0,0,1,0,1,0
말 한 번 진짜 고상하게 한다~,6,화자2,비난,0,0,0,0,1,0,0,0
입에 걸렝이를 물었나,6,화자2,비난,0,0,0,0,1,0,0,0
제발 약속 지켜 꼭 너 먼저 틀딱 되기 전에 뒤지는 거,6,화자2,"혐오,비난,폭력",1,0,0,0,1,0,1,0
대선 판에서 틀딱한남 후보들 그만 좀 보고 싶다,7,화자1,"혐오,비난",1,0,0,0,1,0,0,0
다 돼지사료로 갈아버렸으면,7,화자1,"혐오,비난,폭력",1,0,0,0,1,0,1,0
윗물이 맑아야 아랫물이 맑은데 지금 윗물은 썩었음,7,화자1,비도덕 아님,0,0,0,0,0,1,0,0
아 진짜 여자 후보만 나왔으면 좋겠다,7,화자2,비도덕 아님,0,0,0,0,0,1,0,0
한남들이 여자들은 힘든 일 안 한다고 웅앵하는데 그게 아님,8,화자1,비도덕 아님,0,0,0,0,0,1,0,0
팩트는 공사현장에 여직원 들어오기만 하면 한남들 이 악물고 악에 받쳐서 개거품 물고 여자 성추행하고 왕따 시키고 업무 배제 시키고 하니까 자살하거나 때려치고 하는 거임,8,화자1,"혐오,비난",1,0,0,0,1,0,0,0
맨날 쳐 빻은 한남샛기들 말 듣다가 간만에 맞는 말 들으니까 너무 속시원하다,8,화자2,"혐오,비난,욕설",1,0,0,1,1,0,0,0
